company_number,company_name,organisation_type,organisation_code,registration_date,foundation_date,industry_code,industry_description,employees,website,email,phone,street,postal_code,city,municipality,country,country_code,bankrupt,under_liquidation,source,source_url,evidence_company_number,retrieved_at
810034882,SANDNES ELEKTRISKE AS,Aksjeselskap,AS,1995-02-19,1977-06-15,43.210,Elektrisk installasjonsarbeid,11,,post@sandneselektriske.no,51 68 57 00,Strandgata 21,4307,SANDNES,SANDNES,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/810034882,810034882,2026-09-18T10:30:27.941155+00:00
810059672,AASEN & FARSTAD AS,Aksjeselskap,AS,1995-02-19,1965-06-26,68.200,Utleie av egen eller leid fast eiendom,,,,71 23 24 56,Sjøgardsvegen 8,6460,EIDSVÅG I ROMSDAL,MOLDE,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/810059672,810059672,2026-09-18T10:30:27.941177+00:00
810094532,ALSTRAY AS,Aksjeselskap,AS,1995-03-12,1919-09-18,68.200,Utleie av egen eller leid fast eiendom,,,nilsgauslaa@gmail.com,,Stoaveien 11,4848,ARENDAL,ARENDAL,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/810094532,810094532,2026-09-18T10:30:27.941183+00:00
810098252,ODD FELLOW HUSET BODØ AS,Aksjeselskap,AS,1995-02-19,1974-06-10,68.200,Utleie av egen eller leid fast eiendom,,,oddfellowhusetbodo@gmail.com,,Reinslettveien 2,8009,BODØ,BODØ,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/810098252,810098252,2026-09-18T10:30:27.941186+00:00
810105372,SØRLANDSPORTEN EIENDOM AS,Aksjeselskap,AS,1995-03-12,1973-12-14,68.200,Utleie av egen eller leid fast eiendom,,,,37155025,,4994,AKLAND,RISØR,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/810105372,810105372,2026-09-18T10:30:27.941190+00:00
810130822,ALSTRA AS,Aksjeselskap,AS,1995-03-12,1973-12-17,46.830,"Engroshandel med tømmer, trelast, byggevarer og sanitærutstyr",,,,37 15 62 83,Homme,4990,SØNDELED,RISØR,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/810130822,810130822,2026-09-18T10:30:27.941193+00:00
810182482,FAGMØBLER HERMAN ANDERSEN AS,Aksjeselskap,AS,1995-02-19,1976-05-14,47.551,"Detaljhandel med møbler, gjelder også madrasser",7,,,37 04 11 40,Bergemoveien 40,4886,GRIMSTAD,GRIMSTAD,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/810182482,810182482,2026-09-18T10:30:27.941196+00:00
810202572,BORTIGARD AS,Aksjeselskap,AS,1995-02-19,1975-06-04,41.000,Oppføring av bygninger,,,,33051963,Løkkeveien 18,3085,HOLMESTRAND,HOLMESTRAND,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/810202572,810202572,2026-09-18T10:30:27.941199+00:00
810274042,ARNESEN EIENDOM AS,Aksjeselskap,AS,1995-03-12,1975-12-31,68.200,Utleie av egen eller leid fast eiendom,,,,77 66 36 00,Kvaløyvegen 311,9016,TROMSØ,TROMSØ,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/810274042,810274042,2026-09-18T10:30:27.941202+00:00
810359862,AUTOBJØRN A/S,Aksjeselskap,AS,1995-02-19,1968-06-10,95.310,Reparasjon og vedlikehold av motorvogner,12,www.autobjorn.no,,23 03 10 20,Cecilie Thoresens vei 5-7,1153,OSLO,OSLO,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/810359862,810359862,2026-09-18T10:30:27.941205+00:00
